_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.3361612612245	+31.4716265703275	056.33616975725	0.9857	+31.47161597005	0.4496	216408047538338304	2.3814	1.1386	1.683	1.645	-2.462	1.392	0	1.3594e+02	9.7165e-01	20.3550	0.0078	5.3993e+01	9.3914e+00	21.0206	0.1889	2.1548e+02	9.2446e+00	18.9284	0.0466	2.0921							
056.3587256651953	+31.4717106911896	056.35876108805	1.5673	+31.47170546425	0.5986	216409456287869440	-0.5859	1.5189	7.017	3.160	-1.214	1.934	0	1.0628e+02	1.0859e+00	20.6222	0.0111	5.3910e+01	1.2398e+01	21.0222	0.2497	1.5000e+02	7.9997e+00	19.3217	0.0579	1.7005							
056.3703561597747	+31.4863228959818	056.37037621415	1.0882	+31.48630365015	0.4323	216409555071259392	2.3286	1.2313	3.972	1.588	-4.470	1.135	0	1.8387e+02	9.9441e-01	20.0271	0.0059	6.0670e+01	8.2254e+00	20.8939	0.1472	2.6958e+02	9.9110e+00	18.6852	0.0399	2.2088							
056.3607754912722	+31.4766426578777	056.36078046396	0.4977	+31.47663759885	0.2253	216409559368302080	0.4724	0.5186	0.985	0.994	-1.175	0.656	0	3.1647e+02	1.0888e+00	19.4375	0.0037	9.7227e+01	7.3910e+00	20.3819	0.0825	3.6818e+02	9.0198e+00	18.3468	0.0266	2.0351							
056.3389702574714	+31.4762528166399	056.33896463861	0.0769	+31.47624839914	0.0360	216409525008564608	1.3226	0.0859	-1.113	0.134	-1.026	0.100	0	7.7632e+03	4.8046e+00	15.9633	0.0007	1.7787e+03	1.0254e+01	17.2261	0.0063	9.2724e+03	1.7305e+01	14.8439	0.0020	2.3822			3804.33	2.9218	1.4880	1.33	0.333
056.3796936833044	+31.4924921551037	056.37970719010	0.3896	+31.49248309191	0.1589	216409589430774144	0.5166	0.4396	2.675	0.544	-2.105	0.395	0	6.1967e+02	1.2133e+00	18.7080	0.0021	1.6954e+02	6.9450e+00	19.7782	0.0445	7.2421e+02	8.2266e+00	17.6123	0.0123	2.1660							
056.3736165009289	+31.4895244104972	056.37360425179	0.7800	+31.48951822772	0.3074	216409658150248960	-1.4916	0.9496	-2.426	1.233	-1.436	0.797	0	2.6098e+02	1.0223e+00	19.6468	0.0043	9.1063e+01	7.6784e+00	20.4530	0.0916	3.0905e+02	9.0807e+00	18.5369	0.0319	1.9162							
056.3914218993007	+31.4931733452263	056.39147073619	0.1208	+31.49312715093	0.0596	216409628087776768	1.6415	0.1322	9.672	0.217	-10.729	0.160	0	3.1207e+03	2.4057e+00	16.9527	0.0008	7.5256e+02	7.1106e+00	18.1600	0.0103	3.6805e+03	1.3832e+01	15.8472	0.0041	2.3129			4046.81			0.55	0.074
056.4010085323047	+31.4985728803531	056.40101624809	0.4206	+31.49848070702	0.2027	216409623790738560	2.2080	0.4400	1.528	0.828	-21.408	0.553	0	3.5026e+02	1.1250e+00	19.3274	0.0035	4.8623e+01	6.5125e+00	21.1343	0.1454	5.6475e+02	9.0795e+00	17.8823	0.0175	3.2520							
056.3751972272634	+31.4909691000089	056.37519557113	0.1699	+31.49094159612	0.0704	216409662447515648	0.9147	0.2010	-0.328	0.265	-6.388	0.183	0	2.3618e+03	2.0918e+00	17.2552	0.0010	6.8531e+02	8.6421e+00	18.2617	0.0137	2.5610e+03	1.0392e+01	16.2409	0.0044	2.0208							
056.3727989918523	+31.4981334742078	056.37279617419	1.9222	+31.49817797643	0.8107	216409662446301696	-0.6999	1.8152	-0.558	3.855	10.336	2.432	0	9.5081e+01	1.0101e+00	20.7431	0.0115	9.1262e+01	3.0957e+01	20.4507	0.3683	1.3696e+02	8.7150e+00	19.4204	0.0691	1.0302							
056.4090787805900	+31.5019641624700	056.40907878059	43.6923	+31.50196416247	9.6657	216409799885838336							0	5.7215e+01	1.5457e+00	21.2946	0.0293																
056.4084479862800	+31.5204106529200	056.40844798628	4.0757	+31.52041065292	1.5321	216410036107602816							1	1.5367e+02	1.7696e+00	20.2219	0.0125	3.3267e+01	5.7622e+00	21.5464	0.1881	3.7632e+02	7.2159e+00	18.3230	0.0208	3.2233							
056.4119722079324	+31.5313768716639	056.41199313071	0.6298	+31.53139562236	0.2997	216410109121810688	0.9630	0.6667	4.142	1.239	4.355	0.829	0	2.3319e+02	1.0936e+00	19.7691	0.0051	4.3556e+01	5.8571e+00	21.2538	0.1460	3.6879e+02	6.5375e+00	18.3450	0.0192	2.9088							
056.4015262249500	+31.5212269780800	056.40152622495	9.1104	+31.52122697808	4.3094	216410074763225344							0	5.9078e+01	1.3184e+00	21.2598	0.0242																
056.3951678014607	+31.5314416913882	056.39519496270	0.2943	+31.53142986403	0.1314	216410104826865280	-0.5367	0.3175	5.377	0.567	-2.747	0.390	0	6.1972e+02	1.4782e+00	18.7079	0.0026	1.9754e+02	1.1347e+01	19.6122	0.0624	7.5722e+02	9.0705e+00	17.5639	0.0130	2.0484							
056.3996855051661	+31.5048154048878	056.39970227095	1.0210	+31.50479355850	0.4384	216410006043424640	0.2626	1.1163	3.320	1.877	-5.074	1.359	0	1.3128e+02	8.2280e-01	20.3928	0.0068	4.9554e+01	6.1979e+00	21.1137	0.1358	1.8241e+02	1.2099e+01	19.1093	0.0720	2.0044							
056.4147194296390	+31.5364173766909	056.41473769133	0.9674	+31.53640825322	0.4174	216410207906297216	-0.1780	1.0884	3.615	1.802	-2.119	1.331	0	1.4805e+02	7.8850e-01	20.2623	0.0058	4.9682e+01	5.9023e+00	21.1109	0.1290	1.9467e+02	6.3610e+00	19.0387	0.0355	2.0722							
056.4207791663837	+31.5352916138119	056.42081410818	0.1200	+31.53523831965	0.0601	216410143483848832	3.2939	0.1302	6.917	0.223	-12.378	0.169	0	2.5223e+03	1.9669e+00	17.1839	0.0008	4.5027e+02	9.4393e+00	18.7177	0.0228	3.2906e+03	1.2473e+01	15.9687	0.0041	2.7490							
056.4279432787378	+31.5222704690514	056.42797135657	0.0773	+31.52227791336	0.0387	216410143483849472	0.8723	0.0852	5.559	0.143	1.729	0.112	0	5.3982e+03	3.5032e+00	16.3577	0.0007	1.3767e+03	7.8565e+00	17.5043	0.0062	6.1969e+03	1.5506e+01	15.2815	0.0027	2.2228			3559.00	2.7707	1.3890	2.09	0.634
056.4211342780700	+31.5567295541000	056.42113427807	12.1558	+31.55672955410	2.7362	216410246562423040							0	6.9986e+01	1.4166e+00	21.0758	0.0220																
056.4325345684148	+31.5497760747633	056.43253257273	0.7356	+31.54976733018	0.3558	216410246560759040	-0.6938	0.7964	-0.395	1.548	-2.031	1.062	0	1.9239e+02	8.8632e-01	19.9779	0.0050	6.3865e+01	9.2570e+00	20.8382	0.1574	2.6523e+02	7.3898e+00	18.7028	0.0302	2.1354							
056.4173905456188	+31.5293884895353	056.41739818818	0.8526	+31.52938406773	0.4188	216410139186819200	0.2077	0.9066	1.513	1.656	-1.027	1.139	0	1.6767e+02	1.0557e+00	20.1272	0.0068	5.8251e+01	8.0311e+00	20.9381	0.1497	2.0682e+02	9.1365e+00	18.9729	0.0480	1.9652							
056.4477885446065	+31.5731398132926	056.44777451067	1.3417	+31.57315989871	0.6816	216416152140833024	2.9695	1.2843	-2.777	3.274	4.665	2.048	0	1.1258e+02	9.5683e-01	20.5597	0.0092	7.1004e+01	8.7329e+00	20.7232	0.1335	2.6384e+02	1.0559e+01	18.7086	0.0435	2.0146							
056.4478001513189	+31.5733293627511	056.44780256696	1.8322	+31.57331621789	0.8016	216416156435752320	-1.7602	1.5505	0.478	3.889	-3.053	2.604	1	1.1532e+02	1.1810e+00	20.5336	0.0111	7.1248e+01	2.3183e+01	20.7195	0.3533	2.3987e+02	1.2262e+01	18.8120	0.0555	1.9075							
056.4493332983000	+31.5718726314900	056.44933329830	6.9398	+31.57187263149	2.7368	216416156436918784							0	7.7409e+01	1.4396e+00	20.9664	0.0202	1.1079e+02	4.4235e+01	20.2402	0.4335	1.0325e+02	1.2826e+01	19.7272	0.1349	0.5130							
056.4426211145685	+31.5781698850399	056.44256482923	0.0624	+31.57818172533	0.0290	216416156438058752	1.5866	0.0700	-11.137	0.110	2.750	0.088	0	9.3263e+03	3.8029e+00	15.7641	0.0004	2.6101e+03	1.4769e+01	16.8098	0.0061	1.0209e+04	1.4735e+01	14.7395	0.0016	2.0703			4070.75			0.97	0.234
056.4452185282910	+31.5506633442521	056.44521371334	0.2703	+31.55066429578	0.1304	216416049061610240	0.1884	0.2835	-0.953	0.568	0.221	0.367	0	7.8195e+02	1.2635e+00	18.4554	0.0018	2.1399e+02	7.3332e+00	19.5254	0.0372	9.1169e+02	1.0353e+01	17.3623	0.0123	2.1631							
056.4595757837294	+31.5691491522044	056.45955153744	0.2540	+31.56910953679	0.1253	216416083421355008	0.6567	0.2688	-4.798	0.503	-9.201	0.363	0	7.1762e+02	1.2623e+00	18.5486	0.0019	1.7792e+02	1.2107e+01	19.7258	0.0739	9.0002e+02	1.1645e+01	17.3763	0.0140	2.3495							
056.1811716684302	+31.4469130678700	056.18117282415	0.8548	+31.44691058787	0.3879	216502330659867392	1.0412	0.9121	0.229	1.439	-0.576	0.968	0	1.8678e+02	9.5879e-01	20.0100	0.0056	5.0060e+01	5.6330e+00	21.1027	0.1222	2.4902e+02	8.0027e+00	18.7713	0.0349	2.3313							
056.1448786482972	+31.4495927831489	056.14487741684	0.1819	+31.44959000176	0.1017	216502566882693888	0.3639	0.2123	-0.244	0.334	-0.646	0.242	0	1.3175e+03	1.6115e+00	17.8890	0.0013	3.3361e+02	7.5646e+00	19.0433	0.0246	1.5267e+03	1.0324e+01	16.8025	0.0073	2.2408							
056.1650638209447	+31.4486425224806	056.16504343145	1.6735	+31.44863905651	0.6193	216502502458676992	1.4586	1.8942	-4.040	2.148	-0.805	1.486	0	9.9445e+01	9.2088e-01	20.6944	0.0101	4.1996e+01	6.6533e+00	21.2934	0.1720	1.3524e+02	1.2636e+01	19.4342	0.1014	1.8592							
056.1591887648800	+31.4637697386400	056.15918876488	2.5582	+31.46376973864	0.8064	216502605537893376							0	8.7301e+01	1.1708e+00	20.8358	0.0146	3.9779e+01	7.6578e+00	21.3522	0.2090	1.1459e+02	1.8758e+01	19.6140	0.1777	1.7382							
056.1602192697159	+31.4661230218122	056.16024357005	0.8150	+31.46611295112	0.4000	216502601242462976	1.5415	0.8760	4.814	1.443	-2.339	0.955	0	1.7557e+02	8.7337e-01	20.0772	0.0054	6.2830e+01	7.7349e+00	20.8560	0.1337	2.2557e+02	5.9495e+00	18.8787	0.0286	1.9773							
